Designator,Footprint,Quantity,Value,LCSC Part #
R10,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,10K,
SW3,SW_PUSH_6mm_H7.3mm,1,SW_Push_Dual,
R18,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,100R,
U8,DIP-24_W7.62mm,1,GAL22V10,
R11,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,10K,
D9,LED_D3.0mm,1,LED,
U6,DIP-8_W7.62mm,1,NE555P,
R26,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,10K,
D5,LED_D3.0mm,1,LED,
R22,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,1K,
U7,DIP-40_W15.24mm,1,81C55,
D1,LED_D3.0mm,1,LED,
C5,C_Disc_D3.4mm_W2.1mm_P2.50mm,1,30pF,
D12,D_A-405_P12.70mm_Horizontal,1,D,
R6,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,1K,
SW2,SW_PUSH_6mm_H7.3mm,1,SW_Push_Dual,
R20,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,1K,
R15,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,10K,
R2,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,1K,
J6,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06_Female,
SW5,SW_PUSH_6mm_H7.3mm,1,SW_Push_Dual,
R1,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,1K,
R23,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,10K,
R3,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,1K,
R14,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,10K,
R21,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,1K,
J3,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06_Male,
SW4,SW_PUSH_6mm_H7.3mm,1,SW_Push_Dual,
Y1,Resonator-2Pin_W7.0mm_H2.5mm,1,Crystal,
R19,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,100R,
C3,C_Disc_D3.4mm_W2.1mm_P2.50mm,1,10nF,
R17,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,1K,
R24,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,10K,
D7,LED_D3.0mm,1,LED,
D2,LED_D3.0mm,1,LED,
SW1,SW_PUSH_6mm_H7.3mm,1,SW_Push_Dual,
R5,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,220K,
R30,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,1K,
R25,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,10K,
C7,CP_Radial_D4.0mm_P1.50mm,1,10µF,
R4,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,1K,
R13,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,10K,
C4,CP_Radial_D4.0mm_P1.50mm,1,10µF,
J5,PinHeader_1x18_P2.54mm_Vertical,1,Conn_01x18_Female,
R29,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,1K,
J1,TerminalBlock_bornier-2_P5.08mm,1,Screw_Terminal_01x02,
R12,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,10K,
J7,PinHeader_1x18_P2.54mm_Vertical,1,Conn_01x18_Female,
D6,LED_D3.0mm,1,LED,
D8,LED_D3.0mm,1,LED,
U2,DIP-40_W15.24mm,1,8085,
U5,DIP-28_W7.62mm_Socket,1,IS61C256,
U4,DIP-20_W7.62mm,1,74LS573,
C2,CP_Radial_D4.0mm_P1.50mm,1,10µF,
D10,LED_D3.0mm,1,LED,
U9,DIP-20_W7.62mm,1,74LS573,
R9,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,10K,
D4,LED_D3.0mm,1,LED,
R8,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,1K,
J4,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Male,
U1,DIP-8_W7.62mm,1,NE555P,
R16,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,10K,
J2,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Female,
C1,C_Disc_D3.4mm_W2.1mm_P2.50mm,1,10nF,
R28,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,10K,
R7,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,1K,
D3,LED_D3.0mm,1,LED,
U3,DIP-28_W15.24mm,1,28C256,
R27,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,10K,
C6,C_Disc_D3.4mm_W2.1mm_P2.50mm,1,10nF,
