Designator,Mid X,Mid Y,Rotation,Layer
R10,81.28,-100.33,180.0,top
SW3,57.71,-86.65,0.0,top
R18,138.43,-124.46,180.0,top
U8,153.675,-53.35,-90.0,top
R11,81.28,-102.87,180.0,top
D9,166.37,-139.7,90.0,top
U6,130.82,-128.28,0.0,top
R26,204.47,-124.46,-90.0,top
D5,137.16,-68.58,90.0,top
R22,198.12,-52.07,0.0,top
U7,175.255,-69.855,0.0,top
D1,93.98,-55.88,-90.0,top
C5,73.66,-68.58,90.0,top
D12,176.53,-60.96,0.0,top
R6,113.03,-74.93,90.0,top
SW2,57.71,-61.25,0.0,top
R20,124.46,-69.85,180.0,top
R15,81.28,-113.03,180.0,top
R2,72.39,-82.55,0.0,top
J6,222.25,-126.985,180.0,top
SW5,72.95,-53.63,0.0,top
R1,72.39,-85.09,0.0,top
R23,193.04,-124.46,-90.0,top
R3,72.39,-92.71,0.0,top
R14,81.28,-110.49,180.0,top
R21,147.32,-68.58,0.0,top
J3,179.07,-52.07,-90.0,top
SW4,108.51,-53.63,0.0,top
Y1,78.74,-72.35,90.0,top
R19,142.24,-133.35,90.0,top
C3,80.01,-137.16,90.0,top
R17,101.6,-52.07,180.0,top
R24,196.85,-124.46,-90.0,top
D7,156.21,-139.7,90.0,top
D2,101.6,-55.88,-90.0,top
SW1,57.71,-73.95,0.0,top
R5,69.29,-110.49,90.0,top
R30,69.85,-128.27,0.0,top
R25,200.66,-124.46,-90.0,top
C7,143.51,-137.16,-90.0,top
R4,59.13,-99.06,0.0,top
R13,81.28,-107.95,180.0,top
C4,72.39,-139.93,90.0,top
J5,209.55,-107.935,180.0,top
R29,171.45,-139.7,0.0,top
J1,59.69,-135.89,90.0,top
R12,81.28,-105.41,180.0,top
J7,222.25,-107.92,180.0,top
D6,132.08,-68.58,90.0,top
D8,161.29,-139.7,90.0,top
U2,86.355,-69.855,0.0,top
U5,149.87,-81.265,0.0,top
U4,121.915,-132.09,-90.0,top
C2,68.02,-114.59,-90.0,top
D10,83.82,-128.27,0.0,top
U9,177.795,-125.74,-90.0,top
R9,81.28,-97.79,180.0,top
D4,142.24,-68.58,90.0,top
R8,80.01,-77.47,180.0,top
J4,194.3,-52.07,-90.0,top
U1,57.16,-104.44,0.0,top
R16,81.28,-115.57,180.0,top
J2,165.085,-143.51,-90.0,top
C1,59.13,-116.84,0.0,top
R28,212.09,-124.46,-90.0,top
R7,107.95,-74.93,90.0,top
D3,86.36,-55.88,-90.0,top
U3,116.835,-81.29,0.0,top
R27,208.28,-124.46,-90.0,top
C6,137.16,-140.97,0.0,top
